Ca thi,Ngày,GIỜ,Thời gian,Thứ,MS Ca thi,Cơ sở,Số lượng cán bộ cần thiết
"Thứ 2, 18/05/2026, Ca 5: 18g15-20g45",2026-05-18 00:00:00,18g15,150,Thứ 2,20260518_5,Cơ sở 1,2
"Thứ 3, 19/05/2026, Ca 5: 18g15-20g45",2026-05-19 00:00:00,18g15,150,Thứ 3,20260519_5,Cơ sở 1,3
"Thứ 5, 21/05/2026, Ca 5: 18g15-20g45",2026-05-21 00:00:00,18g15,150,Thứ 5,20260521_5,Cơ sở 1,2
"Thứ 6, 22/05/2026, Ca 5: 18g15-20g45",2026-05-22 00:00:00,18g15,150,Thứ 6,20260522_5,Cơ sở 1,2
"Thứ 7, 23/05/2026, Ca 3: 13g00-15g30",2026-05-23 00:00:00,13g00,150,Thứ 7,20260523_3,Cơ sở 1,6
"Thứ 2, 25/05/2026, Ca 2: 09g30-12g00",2026-05-25 00:00:00,09g30,150,Thứ 2,20260525_2,Cơ sở 2,17
"Thứ 2, 25/05/2026, Ca 5: 18g15-20g45",2026-05-25 00:00:00,18g15,150,Thứ 2,20260525_5,Cơ sở 1,3
"Thứ 3, 26/05/2026, Ca 5: 18g15-20g45",2026-05-26 00:00:00,18g15,150,Thứ 3,20260526_5,Cơ sở 1,2
"Thứ 4, 27/05/2026, Ca 2: 09g30-12g00",2026-05-27 00:00:00,09g30,150,Thứ 4,20260527_2,Cơ sở 2,2
"Thứ 4, 27/05/2026, Ca 4: 15g30-18g00",2026-05-27 00:00:00,15g30,150,Thứ 4,20260527_4,Cơ sở 1,1
"Thứ 4, 27/05/2026, Ca 5: 18g15-20g45",2026-05-27 00:00:00,18g15,150,Thứ 4,20260527_5,Cơ sở 1,4
"Thứ 5, 28/05/2026, Ca 1: 07g00-09g30",2026-05-28 00:00:00,07g00,150,Thứ 5,20260528_1,Cơ sở 1,1
"Thứ 5, 28/05/2026, Ca 2: 09g30-12g00",2026-05-28 00:00:00,09g30,150,Thứ 5,20260528_2,Cơ sở 1,1
"Thứ 5, 28/05/2026, Ca 3: 13g00-15g30",2026-05-28 00:00:00,13g00,150,Thứ 5,20260528_3,Cơ sở 2,14
"Thứ 5, 28/05/2026, Ca 3: 13g00-15g30",2026-05-28 00:00:00,13g00,150,Thứ 5,20260528_3,Cơ sở 1,1
"Thứ 5, 28/05/2026, Ca 4: 15g30-18g00",2026-05-28 00:00:00,15g30,150,Thứ 5,20260528_4,Cơ sở 1,1
"Thứ 5, 28/05/2026, Ca 5: 18g15-20g45",2026-05-28 00:00:00,18g15,150,Thứ 5,20260528_5,Cơ sở 1,3
"Thứ 6, 29/05/2026, Ca 1: 07g00-09g30",2026-05-29 00:00:00,07g00,150,Thứ 6,20260529_1,Cơ sở 2,31
"Thứ 6, 29/05/2026, Ca 1: 07g00-09g30",2026-05-29 00:00:00,07g00,150,Thứ 6,20260529_1,Cơ sở 1,1
"Thứ 6, 29/05/2026, Ca 2: 09g30-12g00",2026-05-29 00:00:00,09g30,150,Thứ 6,20260529_2,Cơ sở 1,1
"Thứ 6, 29/05/2026, Ca 3: 13g00-15g30",2026-05-29 00:00:00,13g00,150,Thứ 6,20260529_3,Cơ sở 1,1
"Thứ 6, 29/05/2026, Ca 5: 18g15-20g45",2026-05-29 00:00:00,18g15,150,Thứ 6,20260529_5,Cơ sở 1,3
"Thứ 7, 30/05/2026, Ca 2: 09g30-12g00",2026-05-30 00:00:00,09g30,150,Thứ 7,20260530_2,Cơ sở 1,4
"Thứ 7, 30/05/2026, Ca 3: 13g00-15g30",2026-05-30 00:00:00,13g00,150,Thứ 7,20260530_3,Cơ sở 1,4
"Chủ Nhật, 31/05/2026, Ca 2: 09g30-12g00",2026-05-31 00:00:00,09g30,150,Chủ Nhật,20260531_2,Cơ sở 1,4
